tbl1,attr1,tbl2,attr2,r_val,p_val,samples,flag
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_327_202209_International Migrants and Refugees,Total population of concern to UNHCR (number),0.2197902809951687,0.0048165278019628,163,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_153_202209_Gross Value Added by Economic Activity,"Agriculture, hunting, forestry and fishing (% of gross value added)",0.3988372206711396,2.24149334162613e-47,1209,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_153_202209_Gross Value Added by Economic Activity,Services (% of gross value added),-0.3394808522907738,2.1528407311425782e-34,1224,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_325_202209_Expenditure on health,Domestic general government health expenditure (% of total government expenditure),-0.2733293529322677,1.2834870104196084e-12,651,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),SYB65_264_202209_Patents,Resident patent filings (per million population),-0.2200166148751085,2.4690480201875733e-05,361,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators","Infant mortality for both sexes (per 1,000 live births)",0.5490404663056807,3.04130379575137e-32,392,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Life expectancy at birth for both sexes (years),-0.4791563733323891,6.802865620602461e-24,392,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Life expectancy at birth for females (years),-0.4945825484591176,1.418114188984381e-25,392,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Life expectancy at birth for males (years),-0.4600843551685482,6.25909696313711e-22,392,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators","Maternal mortality ratio (deaths per 100,000 population)",0.4961782748339342,1.1364792267523976e-20,310,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Population annual rate of increase (percent),0.276651138802122,2.360489756028617e-08,394,region_and_year
SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Total fertility rate (children per women),0.563052633599155,3.645503081903308e-34,392,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_309_202209_Education,Gross enrollment ratio - Upper secondary level (female),0.9455854215825286,0.0,744,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_309_202209_Education,Gross enrollment ratio - Upper secondary level (male),0.9430211209983796,0.0,746,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_176_202209_Tourist-Visitors Arrival and Expenditure,Tourism expenditure (millions of US dollars),0.2269205131835959,0.0016415718454012,190,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_317_202209_Seats held by women in Parliament,"Seats held by women in national parliament, as of February (%)",0.2508836909752833,8.361460652835087e-10,582,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_328_202209_Intentional homicides and other crimes,"Assault rate per 100,000 population",0.2054955455639942,0.000296101586663,306,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_328_202209_Intentional homicides and other crimes,"Intentional homicide rates per 100,000",-0.2307644657422088,1.021834536967421e-06,439,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_328_202209_Intentional homicides and other crimes,"Percentage of male and female intentional homicide victims, Female",-0.3253466517378296,6.003714927053461e-10,345,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_328_202209_Intentional homicides and other crimes,"Percentage of male and female intentional homicide victims, Male",-0.3595419671374831,5.755849273393354e-12,345,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_328_202209_Intentional homicides and other crimes,"Theft at the national level, rate per 100,000 population",0.469785435893764,1.1931343518378999e-12,205,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_328_202209_Intentional homicides and other crimes,"Total Sexual Violence at the national level, rate per 100,000",0.2892024520647249,1.223736160914161e-06,272,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_145_202209_Land,Important sites for terrestrial biodiversity protected (% of total sites protected),0.2439176287888949,1.0861180103970932e-06,390,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_145_202209_Land,Permanent crops (thousand hectares),-0.2058519094443658,0.0004920712014821,283,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_285_202209_Research and Development Staff,R & D personnel: Other supporting staff - women (number in full-time equivalent),0.3934659604494909,0.0006278961277066,72,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_285_202209_Research and Development Staff,R & D personnel: Researchers - women (number in full-time equivalent),0.3974929413024998,0.0024170456384136,56,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_285_202209_Research and Development Staff,R & D personnel: Technicians - women (number in full-time equivalent),0.3584220917662146,0.004563240960899,61,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_314_202209_Internet Usage,Percentage of individuals using the internet,0.7449586964701108,2.8108909258761117e-105,589,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_130_202209_Exchange Rates,Exchange rates: end of period (national currency per US dollar),-0.4277215136374951,2.8084915765566646e-24,514,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_130_202209_Exchange Rates,Exchange rates: period average (national currency per US dollar),-0.4154520552432953,1.2855660188728388e-22,508,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_323_202209_Teaching Staff in education,Teachers with minimum required qualifications at upper secondary level,0.2444190683137273,0.002251196248665,154,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_245_202209_Public expenditure on education,All staff compensation as % of total expenditure in public institutions (%),0.2625001077235364,0.0001869351923584,198,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_245_202209_Public expenditure on education,Basic access to computers by level of education: Lower secondary,0.5692822542561747,1.9290853509395584e-12,129,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_245_202209_Public expenditure on education,Basic access to computers by level of education: Primary,0.6756860817353583,1.5778538334808905e-18,129,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_245_202209_Public expenditure on education,Basic access to computers by level of education: Upper secondary,0.5456872998867097,4.6732837181897455e-11,125,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_245_202209_Public expenditure on education,Capital expenditure as % of total expenditure in public institutions (%),-0.2452591325464224,0.0004205395692435,203,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_245_202209_Public expenditure on education,Public expenditure on education (% of GDP),0.2597511568018523,5.606225754951531e-07,361,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Capital city population (as a percentage of total urban population),-0.2073602422823644,0.0002599501625374,306,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Capital city population (thousands),-0.2544949204418068,0.0123420075293985,96,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Rural population (percent growth rate per annum),-0.5039390551591693,2.5644604398991656e-31,465,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Urban population (percent growth rate per annum),-0.4773848576074986,7.653260107679902e-28,465,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB61_253_Population Growth Rates in Urban areas and Capital cities,Urban population (percent),0.5707657065094065,5.2022084173371855e-43,482,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_319_202209_Ratio of girls to boys in education,Ratio of girls to boys in primary education,0.4082947852310405,6.580110068049088e-26,610,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_319_202209_Ratio of girls to boys in education,Ratio of girls to boys in secondary education,0.3798292162079939,6.978596291636079e-23,625,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_319_202209_Ratio of girls to boys in education,Ratio of girls to boys in upper secondary education,0.4006294660667581,4.105695990597381e-25,615,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_310_202209_Carbon Dioxide Emission Estimates,Emissions per capita (metric tons of carbon dioxide),0.481849092192517,7.81452123192535e-24,386,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),"SYB65_1_202209_Population, Surface Area and Density",Population aged 0 to 14 years old (percentage),-0.7843980528180625,1.3866428999088116e-79,376,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),"SYB65_1_202209_Population, Surface Area and Density",Population aged 60+ years old (percentage),0.667774247653833,6.868389021916559e-50,376,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),"SYB65_1_202209_Population, Surface Area and Density",Surface area (thousand km2),-0.2383380625057342,0.0016412166769255,172,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_154_202209_Health Personnel,Health personnel: Dentists (number),0.2178954803186805,0.0451458814882006,85,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_154_202209_Health Personnel,Health personnel: Dentists (per 1000 population),0.5830958052283788,2.3572933438374384e-27,285,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_154_202209_Health Personnel,Health personnel: Nurses and midwives personnel (per 1000 population),0.686397378019472,7.540409730775555e-48,334,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_154_202209_Health Personnel,Health personnel: Pharmacists (number),0.2916123751037613,0.0074767659146048,83,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_154_202209_Health Personnel,Health personnel: Pharmacists (per 1000 population),0.608823173672806,9.510019563148416e-27,250,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_154_202209_Health Personnel,Health personnel: Physicians (number),-0.270760413576125,0.036399028583216,60,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_154_202209_Health Personnel,Health personnel: Physicians (per 1000 population),0.6909432668764036,5.2942357718036526e-48,329,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_226_202209_Net Disbursements from Official ODA to Recipients,Net official development assistance received: Bilateral  (millions of US dollars),-0.2789895185653834,2.1849383551436802e-07,334,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_226_202209_Net Disbursements from Official ODA to Recipients,Net official development assistance received: Multilateral (millions of US dollars),-0.3749060153006791,9.279630844841854e-14,369,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_226_202209_Net Disbursements from Official ODA to Recipients,Net official development assistance received: Total (as % GNI),-0.3268660902110852,1.6463640482371995e-10,364,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_226_202209_Net Disbursements from Official ODA to Recipients,Net official development assistance received: Total (millions of US dollars),-0.3504074800902285,3.754834333593898e-10,302,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_329_202209_Labour Force and Unemployment,Labour force participation - Male,-0.374317811288491,6.982587183909678e-16,434,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_329_202209_Labour Force and Unemployment,Labour force participation - Total,-0.2387887437240115,4.5374731055372013e-07,436,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_123_202209_Total Imports Exports and Balance of Trade,Exports FOB (millions of US dollars),-0.2706167735645765,0.0008792040500022,148,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_125_202209_Balance of Payments,Balance of Payments: Capital account (millions of US dollars),-0.228573655512501,5.929494811292327e-05,303,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_125_202209_Balance of Payments,Balance of Payments: Current account (millions of US dollars),0.2041059796564649,0.0137983978665244,145,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_327_202209_International Migrants and Refugees,International migrant stock: Both sexes (% total population),0.3788612737492697,6.079728430054201e-20,542,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_327_202209_International Migrants and Refugees,International migrant stock: Female (% total Population),0.3969303243279999,3.3331423077278336e-20,497,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_327_202209_International Migrants and Refugees,International migrant stock: Male (% total Population),0.35330558534274,4.664994255148972e-16,497,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_327_202209_International Migrants and Refugees,Other of concern to UNHCR (number),0.2036122038765249,0.0174280398100661,136,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_153_202209_Gross Value Added by Economic Activity,"Agriculture, hunting, forestry and fishing (% of gross value added)",-0.6924520870920989,7.326805140430809e-83,572,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_153_202209_Gross Value Added by Economic Activity,Services (% of gross value added),0.476049004176102,5.679035907191561e-34,577,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_325_202209_Expenditure on health,Current health expenditure (% of GDP),0.3551921725408161,1.675364452606589e-12,372,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_325_202209_Expenditure on health,Domestic general government health expenditure (% of total government expenditure),0.4954419417869149,1.949688784998828e-24,372,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_264_202209_Patents,Grants of patents (number),0.2921665509955982,0.0001006629929967,172,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),SYB65_264_202209_Patents,Resident patent filings (per million population),0.4574985678863339,1.7320642701191967e-10,176,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators","Infant mortality for both sexes (per 1,000 live births)",-0.8196830854125222,3.25989161864066e-78,317,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Life expectancy at birth for both sexes (years),0.801990752496341,1.8051110357066616e-72,317,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Life expectancy at birth for females (years),0.8067609974422464,5.844584920355047e-74,317,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Life expectancy at birth for males (years),0.783912595949577,3.571030457207382e-67,317,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators","Maternal mortality ratio (deaths per 100,000 population)",-0.7578298327516527,2.405625780251101e-55,290,region_and_year
SYB65_309_202209_Education,Gross enrollment ratio - Secondary (male),"SYB65_246_202209_Population Growth, Fertility and Mortality Indicators",Population annual rate of increase (percent),-0.5142423740528789,8.499770911213436e-23,317,region_and_year
